Reference,B (m),qnet (kPa),NSPT,L/B,Df/B,Sm (mm)
"Burland and Burbidge (1982, 1985)",15,0.8,1,0,78,7
"Burland and Burbidge (1982, 1985)",50,2.1,1,0.71,697,2.3
"Burland and Burbidge (1982, 1985)",60,2.5,3.8,1.2,284,1
"Burland and Burbidge (1982, 1985)",25,1.2,10.6,0.25,250,10
"Burland and Burbidge (1982, 1985)",20,0.9,1,3.44,300,6.7
"Burland and Burbidge (1982, 1985)",45,1.2,1,0.5,150,0.6
"Burland and Burbidge (1982, 1985)",35,4.5,1.3,0.67,195,3.9
"Burland and Burbidge (1982, 1985)",35,5.5,2.9,0.52,93,6.5
"Burland and Burbidge (1982, 1985)",20,4.3,1.6,0.49,161,5
"Burland and Burbidge (1982, 1985)",12,4.5,6.8,0.6,91,11
"Burland and Burbidge (1982, 1985)",35,15,4.9,0.2,81,5.4
"Burland and Burbidge (1982, 1985)",20,4.9,1.6,0.47,188,15
"Burland and Burbidge (1982, 1985)",20,4,1.6,0.5,145,7.4
"Burland and Burbidge (1982, 1985)",13,1.5,1,0.8,77,2.1
"Burland and Burbidge (1982, 1985)",45,1,1,0.5,284,4.7
"Burland and Burbidge (1982, 1985)",40,3.3,1.7,0.9,304,11.6
"Burland and Burbidge (1982, 1985)",17,12.2,1,0.09,130,22
"Burland and Burbidge (1982, 1985)",21,6.7,1.6,0.51,113,5
"Burland and Burbidge (1982, 1985)",6,25,1,0.11,75,87
"Burland and Burbidge (1982, 1985)",21,42.7,1,0,166,80
"Burland and Burbidge (1982, 1985)",5,20,1,0.15,85,81
"Burland and Burbidge (1982, 1985)",30,0.9,1,1.3,300,4
"Burland and Burbidge (1982, 1985)",12,3.5,1,0.43,25,3
"Burland and Burbidge (1982, 1985)",50,2.1,1.1,1.1,584,4.4
"Burland and Burbidge (1982, 1985)",27,24.4,1,0,120,14.3
"Burland and Burbidge (1982, 1985)",29,1.2,1,2.2,215,2.5
"Burland and Burbidge (1982, 1985)",40,3.6,1.8,0.83,304,13.3
"Burland and Burbidge (1982, 1985)",18,13,2.1,0.16,193,23.5
"Burland and Burbidge (1982, 1985)",26,14.5,1,0.24,255,18
"Burland and Burbidge (1982, 1985)",36,41.2,1,0.24,104,10
"Burland and Burbidge (1982, 1985)",30,6,2.7,0.47,162,10.5
"Burland and Burbidge (1982, 1985)",30,34,1.7,0.23,270,22
"Burland and Burbidge (1982, 1985)",4,3.3,4.4,0.3,99,37
"Burland and Burbidge (1982, 1985)",50,1.8,1.6,0.83,575,2.7
"Burland and Burbidge (1982, 1985)",45,1,1,0.5,339,6
"Burland and Burbidge (1982, 1985)",37,2.6,4.1,0.38,293,10.9
"Burland and Burbidge (1982, 1985)",20,4.6,1.6,0.5,166,8.1
"Burland and Burbidge (1982, 1985)",28,1.2,1,0.5,150,1.3
"Burland and Burbidge (1982, 1985)",20,6.1,1.6,0.49,161,10.2
"Burland and Burbidge (1982, 1985)",13,1.1,1,1.09,78,2
"Burland and Burbidge (1982, 1985)",25,1.8,1,1.7,230,3.4
"Burland and Burbidge (1982, 1985)",5,0.9,1,0.33,133,7.6
"Burland and Burbidge (1982, 1985)",20,0.9,1,1.33,300,2.7
"Burland and Burbidge (1982, 1985)",50,2.1,1.9,1.4,347,1.8
"Burland and Burbidge (1982, 1985)",6,14.5,4.4,0.77,74,74
"Burland and Burbidge (1982, 1985)",25,2.2,22,1.4,284,10.5
"Burland and Burbidge (1982, 1985)",20,18.3,1,0.02,41,4.8
"Burland and Burbidge (1982, 1985)",17,17.2,2.5,0.27,34,3.6
"Burland and Burbidge (1982, 1985)",20,17.6,4.8,0.61,218,26
"Burland and Burbidge (1982, 1985)",17,5.8,4.1,0.43,73,11.9
"Burland and Burbidge (1982, 1985)",10,4.4,5.5,0.57,93,8
"Burland and Burbidge (1982, 1985)",14,16,2.7,0.46,209,18.6
"Burland and Burbidge (1982, 1985)",34,33,1,0.16,191,43.8
"Burland and Burbidge (1982, 1985)",38,3,4.8,0.95,140,3
"Burland and Burbidge (1982, 1985)",15,14,1.6,0.18,18,4.2
"Burland and Burbidge (1982, 1985)",21,2.5,5.24,0,158,11.7
"Burland and Burbidge (1982, 1985)",6,25,1,0.09,75,87
"Burland and Burbidge (1982, 1985)",19,33.5,1,0,156,90
"Burland and Burbidge (1982, 1985)",18,1.2,1,2.2,215,8.6
"Burland and Burbidge (1982, 1985)",6,22.4,3.8,0.04,75,92
"Burland and Burbidge (1982, 1985)",10,2.6,8.5,0.77,147,12
"Burland and Burbidge (1982, 1985)",40,4.5,1.5,0.67,304,18.3
"Burland and Burbidge (1982, 1985)",8,1.2,1,0.75,268,12.7
"Burland and Burbidge (1982, 1985)",35,1.5,1,0.4,150,2.1
"Burland and Burbidge (1982, 1985)",21,22,3.4,0.22,82,7.7
"Burland and Burbidge (1982, 1985)",26,1.2,1,2.2,215,1.5
"Burland and Burbidge (1982, 1985)",60,10,1,0.15,240,7
"Burland and Burbidge (1982, 1985)",25,1.4,1,2.1,230,3.9
"Burland and Burbidge (1982, 1985)",8,3.3,4.2,0.54,52,35
"Burland and Burbidge (1982, 1985)",50,2.1,1.1,1.4,584,4.6
"Burland and Burbidge (1982, 1985)",50,1.4,1,2.6,300,1.5
"Burland and Burbidge (1982, 1985)",25,1.6,7.9,0.25,250,9.3
"Burland and Burbidge (1982, 1985)",20,4.9,1.6,0.47,199,11.7
"Burland and Burbidge (1982, 1985)",35,23.6,1.14,0.13,167,15.4
"Burland and Burbidge (1982, 1985)",8,3.3,4.2,0.54,52,20
"Burland and Burbidge (1982, 1985)",60,2.5,3.8,1.2,284,3
"Burland and Burbidge (1982, 1985)",15,19,1,0,80,52
"Burland and Burbidge (1982, 1985)",30,22.9,1.4,0.13,165,20.4
"Burland and Burbidge (1982, 1985)",20,3,1.6,0.5,231,8.1
"Burland and Burbidge (1982, 1985)",20,3.7,1.6,0.49,290,11.2
"Burland and Burbidge (1982, 1985)",20,3.4,1.6,0.5,247,12.2
"Burland and Burbidge (1982, 1985)",22,7,1.6,0.5,177,8.3
"Burland and Burbidge (1982, 1985)",18,13,2.4,0.16,193,22
"Burland and Burbidge (1982, 1985)",25,1.2,1,0,320,2.8
"Burland and Burbidge (1982, 1985)",18,13,1.7,0.16,194,18.8
"Burland and Burbidge (1982, 1985)",45,1,1,0.5,564,4.4
"Burland and Burbidge (1982, 1985)",20,4.6,1.6,0.5,113,5.1
"Burland and Burbidge (1982, 1985)",20,3.7,1.6,0.49,139,7.4
"Burland and Burbidge (1982, 1985)",30,6,2.7,0.6,162,11
"Burland and Burbidge (1982, 1985)",6,0.9,1,1,113,6.4
"Burland and Burbidge (1982, 1985)",20,4,1.6,0.5,97,6.1
"Burland and Burbidge (1982, 1985)",50,1.5,1,0.4,150,1
"Burland and Burbidge (1982, 1985)",17,5.3,9.9,0.49,121,12
"Burland and Burbidge (1982, 1985)",25,1,1,3,196,6
"Burland and Burbidge (1982, 1985)",20,4.3,1,0.49,102,7.1
"Burland and Burbidge (1982, 1985)",30,21.7,5.3,0.14,148,19.8
